index,product,Quantity Sold(cartons)
4585,Mixing Bowl - 2129,5
4586,Instant Popcorn Value Pack - Golden Sizzle,8
4587,Magik for Kids 5+,15
4588,Almonds 200G + GreenRaisins Seedless 250G + Cashews Whole 200G + Pistachios 200G,19
4589,Millet Muesli - Fruit & Nut,9
4590,Oil - Sesame,17
4591,Hot & Sweet Chilli,13
4592,"Hand Wash - Naturals, Sea Mineral",8
4593,Juice - Mango,17
4594,Napkin Tissue - Eco,12
4595,Cheddar Cheese,3
4596,"Penta Plastic Pet Water Bottle - Violet, Wide Mouth",13
4597,"Colombia Classique Black, Single Origin Dark Chocolate - 55% Dark",17
4598,Sport 5-Blade No Slip Aquagrip Men’s Cartridges,18
4599,Combi Meal Plastic Lunch/Tiffin Box With Containers & Cover - Red,8
4600,Sanitary Pads - Ultra XL,17
4601,"Radler - Non Alcoholic Malt Drink, Mint & Lime",6
4602,Tap Cleaner,8
4603,"Sharbat - Paan, Syrup",14
4604,Wonder Pants Small - 126 Diapers,17
4605,Hand Wash - Masterblaster,8
4606,Instant Oats - Gluten Free,14
4607,White Botanical Exceptional Toner,20
4608,Chocolate - Kokonat Toffee,18
4609,Lavash - 100% Wholewheat,2
4610,Chicken - Salami,2
4611,Veg Seekh Kebab,5
4612,"Glass Container With Lid - Blue, BB 594",4
4613,Sandal & Turmeric Soap 125 g (Pack of 8) + Gold Soap 125 g (Buy 3 Get 1 Free),4
4614,Infant Rattle Set,11
4615,"Crazy Fries - Masala Mix, Herb 'n' Garlic",1
4616,Disinfectant Surface Cleaner - Rose Bloom,4
4617,Crunchy Almond Butter - Unsweetened,9
4618,Crunch - Almond and Raisins,19
4619,Nougat & Caramel Filled Chocolates - Miniatures,14
4620,Face Pack - Herbal Multani Mati,6
4621,Tomato Disc 70 g + Cheese Balls 70 g,1
4622,Replenishing Night Cream,13
4623,Dried Prunes,3
4624,"SMX 3 - 3 Blade Shaving System, Jumbo Pack",9
4625,Platinum Triply Stainless Steel Induction Base Saucepan With Lid - 16 cm,12
4626,Masala - Butter Chicken,14
4627,"Steel Storage/Lunch Container - No.31, Pink, Klip It",3
4628,Organic Sugar/Sakkare,10
4629,"Milkshake Mix, 200 g + Vanilla Creme Biscuit, Family Pack, 300 g",16
4630,Sauce - Chipotle Adobado,10
4631,Soan Papdi Special,16
4632,Matic 3-in-1 PODs Detergent Pack - 32 ct,9
4633,Hair Removal Waxing Strips Kit - Sensitive Skin,11
4634,Oxford Milk Mug - Carpet 301,14
4635,Venezia Large Bowl - Tempered Glass,8
4636,"Wet Dog Food - Chicken & Liver Chunks In Gravy, For Puppy",16
4637,Gold Cappuccino - Cafe Experience,14
4638,Facial Tissues Box - 2 Ply - 100% Virgin Pulp/Paper,7
4639,Watermelon Drink,13
4640,"Shot Body Spray - Maxx, Trend",1
4641,Natura Low Calorie Sweetner,15
4642,"Ball Pen - Fyro, Blue",7
4643,"Women Deodorant Roll On - Protect & Care, Non-Irritating & 48h Protection",16
4644,Coffee - Grand,17
4645,Organic - Biryani Masala,11
4646,Seeds - Chia,2
4647,Ridge Gourd - Organically Grown,6
4648,Bathing Soap - Ayurvedic Natural Glycerine,1
4649,Space Water/Juice Glass Tumbler,17
4650,"Toothpaste - Active Salt, Neem, Anticavity",19
4651,Soft Centres Chocolate - Choco Mousse,20
4652,Stance Eau De Toilette,17
4653,"Floor Duster - Super, White",4
4654,Noodles - Masala,14
4655,Daily Liners - Clean & Fresh,16
4656,"LED Bulb - 14 Watt, Cool Day Light, Base B22D",14
4657,Perfume Body Spray - Feel For Life For Men,7
4658,Black Gram Lentils Curry-Basmati Rice,1
4659,Milk Shakti Biscuits - With The Goodness Of Milk,9
4660,Cheese Spread - Jeera,9
4661,Peach Milk Intense Moisturiser Lotion,7
4662,"Secure XL Cottony Soft - Sanitary Pads for Women, With Wings",7
4663,Bhringraj Multi-Vitaliser Hair Oil,8
4664,Dark Chocolate,20
4665,Barnyard Millet Rice - Pesticide Free,20
4666,Underarm Roll On Deodorant For Women - Shower Fresh,20
4667,Activated Charcoal Face Wash - Skin Purifying + Deep Detox,16
4668,Organic - Horse Gram/Hurali Kaalu,3
4669,"Stainless Steel Kitchen Knife - Silver & Black, BB1007",17
4670,Plastic Polka Masala Container Transparent - Blue,20
4671,Solid Rim Power Active Flower,8
4672,Stir Fry Sauce,13
4673,6 Oil Nourish Shampoo,14
4674,French Fries,5
4675,Skin Perfect 30+ Facial Foam,18
4676,Organic Dosa Mix - Little Millet,2
4677,Powder - Black Pepper,13
4678,Organic Rock Salt/Uppu,6
4679,Spill Guard No.4 Kids Lunch Box - Pink,11
4680,Apple Cinnamon Infusion,1
4681,"Quinoa - Red, From Peru",11
4682,Ultra Soft Premium Pants Small - 50 Diaper Pants,16
4683,Abhayarishta,2
4684,Active Clean Shower Gel,2
4685,Cleaning Cloth - Nonwoven,19
4686,Juicy Berry Lip Balm,6
4687,Bathing Soap - Honey & Cream,13
4688,Perfume - Delicious Night Edp (For Women),6
4689,Arabica Espresso Filter Coffee - Roast & Ground Strong,18
4690,Pasta Seasoning,18
4691,Latkan,7
4692,"Premium Stainless Steel Serrated Vegetable Knife - Large, BBPK04",5
4693,Daily Nourish Hair Cream,15
4694,PainOut - Gives Express Relief From Tooth Pain,16
4695,Toilet Cleaner,4
4696,Banana - Robusta,4
4697,Perfecta Ultra Extra Soft Sanitary Napkins,16
4698,Baby Apple Shimla,9
4699,Muskmelon - Diced,2
4700,Cream Wafers - Orange Flavored,6
4701,Nachos Tangy Tomato,8
4702,Single Line Soft Bound Long Book Trendy Series 21x29.7 Cm,9
4703,"Face Mask - Ultra-Light Contoured Fit, Large, Aqua Grey",4
4704,Brightening Beauty Pack,1
4705,Medium Prawns - Peeled & Deveined,9
4706,Hakka Noodles - Carrot,5
4707,Air Freshener - Rose,5
4708,"Dog Care - Classic Steel Bowl, GIb1003",3
4709,Pre-Shave Scrub With Black Sand & Vitamin E For Dead Skin Removal,8
4710,D-Tan Pack For Men,17
4711,Wafers - Vanilla Cream,20
4712,Chips - Peri Peri,10
4713,"Almond Milk - Unsweetened, Dairy Free",18
4714,Chai/Bone China Milk/Coffee Mug - Black & White Floral Design,9
4715,Airtight Lock-N-Pack Plastic Container - Transparent,13
4716,"Sona Masuri Raw Rice/Akki - 12 Months, Pesticide Free",14
4717,Detergent Bar,3
4718,Moisture Absorber - Disposable,14
4719,Ready to Cook - Prawn Small,11
4720,100% Pure Olive Oil,17
4721,"Face Mask for Kids - 7-12 Years, Black, 5 x 3 Inches",4
4722,Oil Control Tissue,17
4723,Poha,17
4724,Black Tea - Indian Masala/Chai,20
4725,Chia Seed No Shine Hydrating Cream,18
4726,Wonder Pants Medium Size Diapers Monthly Pack,19
4727,Hair Wax New - Black,14
4728,Icon Jug - Pink,18
4729,For Men Eau De Toilette,8
4730,Kitchen Queen Papad Box - Pink,16
4731,Body Massage Oil For Stress Relief,1
4732,Giloy Juice - 100% Ayurvedic Health Juice For Immunity Boosting,4
4733,Revolutionary Fabric Roll On - Outdoor Mosquito Repellent,14
4734,"Organic - Urad Dal/Uddina Bele, Black (Split)",20
4735,Borosilicate Glass Square Food Container With Dark Blue Lid,7
4736,Scrubber - Sponge Wipes,16
4737,"Power Blast - CSK Cricket Match Card Game & Collectible, 6+ Ages, Multi-Colour",1
4738,"Scented Small Candles - BB1369, Assorted",17
4739,Dog Cleanser - Erina Coat,1
4740,"Deodorant Roll On - Deep Impact Freshness, 48 h Anti Perspirant Freshness",10
4741,Colocasia - Organically Grown,20
4742,Almond Carrier Cream,10
4743,Nutritivo Pomegranate Radiant Glow Night Cream,15
4744,Fruit Power - Mixed Fruits,19
4745,Shower Gel - Peach & Avocado,10
4746,Keora water - Authentic flavour for  Briyani's and Desserts,4
4747,Tea - Strong,16
4748,Natural Hair Strengthening Oil,2
4749,Rose Water Soap,19
4750,Skin Lightening Face Wash - Sulphate Free,7
4751,Safe Hair Color - Soft Black,19
4752,"Hair Conditioner - Ayurvedic Hair Repair Therapy, For All Hair Types",8
4753,Bakery Biscuit - Tooti Fruity,18
4754,Pork Premium Bacon,11
4755,Signature Dark Temptation - No Gas Body Deodorant For Men,5
4756,Espresso Body Scrub - With Coffee & Walnut Shell Powder,18
4757,"Tiffin Set - With 2 Containers, Thermosteel, Insulated, Yellow, Vector Deluxe",8
4758,Namkeen - Masala Peanut,12
4759,"Steel Bowl - No. 8, Conical",13
4760,"Roopchand Fish - Slice, Preservative Free, 10-14 pcs",7
4761,"Cheese - Cheddar With Chillies, Block",8
4762,American Sour Cream and Onion Spice Mix,5
4763,XXX Non Gas Deodorant,5
4764,Cumin/Jeera/Jeerige - Whole,11
4765,Premium Kulfi Maker With Candy Cone - Pink,3
4766,Gems Premium Incense Sticks - Economy Pack,8
4767,Gluten-Free Masala Jowar Upma Mix,19
4768,Imitation Badger Shaving Brush,3
4769,7 O Clock Razor - Sterling,8
4770,Sparkling White Toothpaste,14
4771,"Transparent Button Folder - 14"" x 10"" With Snap Button Cover",11
4772,Daily Choco Almond Bar,10
4773,Fresh Start Oil Clear Strawberry Face Wash,11
4774,Falooda Mix Mango,19
4775,Tuna Tomato Rice - Ready to Eat,15
4776,Caramel & Cedarwood Moisturizer - Mini,16
4777,Jelly - Assorted,18
4778,Brightening & Firming Eye Serum,15
4779,Nourish & Replenish Shampoo & Conditioner Combo Pack With Philips Hair Dryer,8
4780,Spread - Peach,16
4781,Icon Gold Eau De Parfum,13
4782,Dhanwantharam Thailam,7
4783,Organic Pesticide & Fungicide,13
4784,Ghee/Tuppa,13
4785,Potato Crisps - Sour Cream and Onion,3
4786,Diaper Pants - New Baby,11
4787,Ragi Bites - Choco Poco,17
4788,Pickle - Ginger,10
4789,Pickle - Mix Vegetable,1
4790,Red Velvet Cake,9
4791,Disney Belle Princess Double Wall Insulated Kids Sipper Bottle,7
4792,Glass Water Bottle With White Cap - BB1245WHT,4
4793,"Cotton Enriched Toilet Paper - Deluxe, 3 Ply",12
4794,Microfibre Duster,14
4795,Papaya Facial Kit - Blister Pack,8
4796,Malabar Trevally Fish (Medium) - Boneless,14
4797,San Remo Pasta 500G+Disano Olive Oil Extra Virgin 1L+Happy Chef Pasta Sauce 270G,10
4798,Karpooradi Thailam,3
4799,RTE BUTTER POPCORN PP,16
4800,Pineapple Economy Long Box - FG06724,16
4801,"Stainless Steel Serving Handi With Rack - Glass Lid, Labella",6
4802,Dust Pan - Excel,13
4803,Beard & Mooch Wax - Strong Hold,13
4804,"Chai/Bonechina Coffee Mug - Multicolour, Polka Print",5
4805,Thandai Milk Shake Powder,10
4806,"Sun Shield - Bio Micro Gold Matte Cream, SPF 30",3
4807,Orange Salsa Gold Ice Cream,4
4808,Super Glue,9
4809,Nilgiris Green Tea - Anicca Chamomile,20
4810,Cracker Sandwich - Butter Flavour,14
4811,Extra Virgin Coconut Oil,8
4812,Orange Drink Powder,1
4813,Honey Fig Cake,5
4814,"Aluminium Pressure Cooker - Super BLK Plus, Induction Base, Hard Anodised, Black",19
4815,Italian Dressing - 81% less fat,16
4816,Mix Fruit Face Wash,13
4817,Kitchen King Masala,7
4818,Peri Peri Chickpeas,10
4819,Naturals Hair Oil - Jasmine,2
4820,Store In Food Keeper/ Plastic Container,5
4821,Double Walled Glass Bottle With Pink Cap - BB1241,14
4822,"Dry Cat Food - Chicken Flavour, For Adult Cats, +1 Year",19
4823,Moisturising Cow's Ghee Soap,6
4824,Dziner Empire Bamboo Tree Juice Water Glass,3
4825,Casting Creme Gloss Hair Color,13
4826,Creme Care Soap - For Hands & Body,9
4827,Fairy Oil,5
4828,Blossom Arabian Jasmine Face & Body Mist,10
4829,Banana - Poovan,17
4830,Milk Choco Spread,9
4831,Life On Coconut Shampoo & Shower Gel,3
4832,Deodorant Spray - Women Chastity,11
4833,Earl Grey Bergamot Green Tea - Loose Leaf,10
4834,Natirel Raw Banana Flour,11
4835,Britannia Pav,13
4836,Flask Ceramic Milk & Coffee Mug ZS-FL-04,3
4837,Square Dish With Handle - IH22DH16180,13
4838,"Skin Superfood - Advanced Plant Based Formula, Blueberry & Lemon Flavour",9
4839,Natural Baby Wash,12
4840,Classico - Pure Olive Oil,3
4841,Mixed Fruit Face Wash,12
4842,Jeera/Cumin Powder,6
4843,Perfume Body Spray - Enchanted Beauty For Women,16
4844,"Face Mask GP95+ - White, Small",4
4845,Kanda Poha,14
4846,Amaze Body Deodorant,5
4847,Coffee Sticks - Premium,18
4848,Hakka Noodles - Tomato,14
4849,Styling Wax For Men - Clean Cut Shine,5
4850,Nilgiris Green Tea - Anicca Chamomile,7
4851,Shoe Polish - Dark Tan Leather,16
4852,Nescafe - Cap Colombie Coffee,6
4853,"OatWOW Classic - Dairy-Free Oat Milk, Naturally Sweet and Creamy, Lactose-Free",20
4854,"Printed Fabric Pencil Pouch - Blue & Black, BB1265DBLU",5
4855,Self Stick Bulletin Board,9
4856,Organic - Jaggery/Bella,7
4857,"Olives - Black, Pitted",9
4858,Jeera/Jeerige - Pesticide Free,5
4859,Anytime Moisturizing Cream,4
4860,Ready Meals - Dal Tadka,1
4861,"Pumpkin Seeds - Roasted, Salted",7
4862,Cheddar Cheese Spread - Capsicum,15
4863,Face Wash - Dark Spot Reduction,5
4864,Cow Ghee/Tuppa,3
4865,Hair Fall Defense Shampoo,4
4866,Real Nature Kelp Face Mask,7
4867,Marvel Avengers Polyester Round Shaped Pencil Bag - HMHTPB 73279-AV,13
4868,Chicken Nuremberg,20
4869,Natural Fairness Natural Ayurvedic Saffron Face Wash,11
4870,Prune Juice,13
4871,Ruskit - Milk Rusk,18
4872,Brahmi Pearls,12
4873,Triphala Capsules,7
4874,Gourmets Delite  Wafers - Chocolate 75 gm Pouch,16
4875,Quick Spin Mop,20
4876,Shiny Steel,5
4877,Damsel Essential For Women,16
4878,"Steam Inhaler Vaporizer, 3-in-1 Cough Steamer Cum Vaporizer, Nozzle Inhaler & Facial Sauna - Assorted Colours",2
4879,"Creme - Non Greasy Moisturizer Cream for Face, Body & Hands",6
4880,Restorative Under Eye Cream,16
4881,"Fairness Cream - With Saffron, Aloe Vera & Turmeric Extracts",6
4882,Cooling Teether - Star,17
4883,Dhania,15
4884,Golden Glow Cream,12
4885,Anti Hairfall Shampoo,12
4886,"Nutrition Drink - Health, Energy & Sports",9
4887,Face Wash - 100% Oil Clear,16
4888,"Plastic Bottle - Narrow Neck, Brown, Apollo, 20381BR",10
4889,All Time Plastic Polka Masala Container - Transparent,7
4890,Green Pitted Olives,17
4891,Ginger Paste,7
4892,Scrub Pad - With Aloxide Xtra Tough,8
4893,Skin Fruits Brightening Lemon Face Wash,2
4894,Cheese Popcorn - Sriracha Lime,14
4895,Quark Cheese,20
4896,Synthetic Paint Brush - Round,15
4897,Minute Garlic Rasam,1
4898,Open Square Dustbin / Garbage Bin Bucket - Blue Colour,5
4899,Food Colour - Red,4
4900,Party Wafers - Cocoa Cream,2
4901,Heel Repair Ayurvedic Foot Care Cream,18
4902,"Regal Plastic Stool - Medium Printed, Assorted Color",20
4903,"Red Chilli - Long, Pesticide Free",14
4904,Grape Fruit - Indian,11
4905,"Sugar Sensation Foot File - Sky Blue, Colour May Vary",3
4906,Chicken Seekh Kabab - Lahori,20
4907,Chifferi Rigati,8
4908,Dough Set - Assorted Colours,9
4909,Enriched Coconut Hair Oil - With 7 Ayurvedic Herbs,3
4910,"Lavender White Tea - Richest In Antioxidants, Pure Tea Buds, Long Leaf Pyramid Bags",11
4911,"Loofah/Sponge Scrubber/Body Bath - Dual Side, Cream, BH-060 CRM",10
4912,NHS 840 Pro Shine Hair Straightener,12
4913,Bio Farm Organic Fertiliser,5
4914,Pure Melamine Urmi Dinner Plate - Golden Leaves,1
4915,Herbal Pure Rose Water Skin Toner,20
4916,Ginger Mulethi Lemon,15
4917,Powder - Heeng,3
4918,"Yoghurt Drink - Alphonso Mango, No sugar added, All natural",18
4919,Chocopie,9
4920,Kadak Masala Chai Tea CTC,1
4921,Dairy Milk - Imported,4
4922,Triphala Churna Powder,10
4923,Fruits & Nuts Storage Glass Bowl,16
4924,De-Tan Facewash For Men,9
4925,Whey Protein,7
4926,Serie Expert A-OX Vitamino Color Protecting Shampoo,18
4927,Chicken Breast Ham Chilli,2
4928,Awadhi Lazzat Ul Taam/Potli Ka Masala,4
4929,Sweet Coffee,11
4930,Potato Crisp Chips - Hot & Spicy,16
4931,Palette Intensive Color Cream - 4-60 Lustrous Medium Brown,20
4932,"Baby Bed Protector - Plain Print, Pink",18
4933,Microwave Popcorn - Cheese,5
4934,Neem Mud Pack,11
4935,Bajra Daliya - Pesticide Free,17
4936,Sunrise Brightening Facial Cleanser,19
4937,Yam - Sliced,5
4938,Organic Kanchipuram Idly Mix,14
4939,Packaged Drinking Water,17
4940,"Unsweetened Peanut Butter - 100% Natural, Crunchy",18
4941,Baby Massage Oil,4
4942,Earl Grey Black Tea,14
4943,Jaggery/Bella Granules,13
4944,Protein Rich Multi Dal Chilla Mix,10
4945,"Cheerios - 100% Whole Grain Oats-Gluten Free, Imported",2
4946,Blu Dreams EDP Fougere Perfume For Men,15
4947,"Star Premium Multipurpose Plastic Basket - Small, Medium & Big",16
4948,Anti-Lice Treatement Hair Oil,11
4949,Gentle & Soft Deep Pore Cleanser,1
4950,Ragi Bites -  Choco/Vanilla Fills,19
4951,Powder - Chaat Masala,13
4952,Instant Pasta - Masala Twist,8
4953,Seasoning - Red Onion Powder,14
4954,"Xpress Eats, Ready-to-Eat Dal Makhani",19
4955,Pickle - Gooseberry,6
4956,Youth Eternity Day Cream,4
4957,Borosilicate Mixing Bowl Set Without Lid,9
4958,Honey Facial Massage Gel,7
4959,Refined Palmolein Oil - Imported,17
4960,Jars - Cube,11
4961,"Home Mate Garbage Bag - Black, Oxo-Bio-Degradable Roll, 36X48, 50 Micron",15
4962,"Glass Bottle With Plastic Outer - Sky Blue, BB1314",19
4963,"Cashew/Kaju Whole 500gm + Raisins Indian 500gm+Almond Californian, Giri 500gm",9
4964,After Shave Lotion - Dark Tempation,5
4965,Dark Roast Brew Coffee 135 g (Set of 3) + Dark Roast Brew Packs 255 g (Set of 5),8
4966,Perfecta Ultra Silky Drai Sanitary Napkins,8
4967,Chinese Cabbage,1
4968,Cookies - Oatmeal (Sugar Free),3
4969,"Toothbrush - Complete Expert, Medium",5
4970,Mathura Chaat Masala,10
4971,Sandalwood & Saffron Facial Ubtan Pack - Soothing & After Glow,11
4972,Green Tea Face Mask+E Luminence Moisturizing Cream,10
4973,Peanut Satay Sauce,8
4974,Corn - Whole Kernel,13
4975,"Utility Glass Jar - Spice, Pickle",13
4976,Cow Ghee/Tuppa - A2 Gir Bilona,8
4977,Murumuru Butter & Rose Aroma Blooming Colour Conditioner,3
4978,Pickle - Lime,12
4979,Cinnamon/Chakke Powder,10
4980,Nari Sakhi Capsule,18
4981,100% Pure Honey - Infused With Litchi,11
4982,Masala - Shami Kabab,3
4983,"Almond/Badam - Californian, Giri",14
4984,"Menstrual Cup - Size Small, Up to age of 25 Years or before Childbirth",19
4985,FunFoods Spicy Vinegar,14
4986,"Beans - French, Ring",13
4987,Nourishing Winter Lotion - Almond & Honey,14
4988,100% Pure Honey,9
4989,Cheese - Natural Cheddar,6
4990,Assam Loose Black Tea,7
4991,Kumkumadi Oil,5
4992,Oil Formula 1 With 25 cc,8
4993,"Non-Stick Heavy Gauge Frying Pan With Glass Lid - 24 Cm, Red",16
4994,"Steel Spoon set - Tea, Monde",8
4995,Dried Cranberries,9
4996,Sunshine Insulated Water Bottle - Yellow,15
4997,Pet Jar - Crystal Square,3
4998,Star Anise Doodh Shot,13
4999,Stapler HP-10,15
5000,"Baby Lotion - Mineral Based Sunscreen, 0-5 years",12
5001,Pickle - Gongura,18
5002,Oats,2
5003,Aloe Vera - Organically grown,1
5004,"Green Tea - Mint, Whole Leaf",1
5005,Borosilicate Tempered Glass Mixing Bowl,20
5006,Universal Hooks - Square In Color White,2
5007,Cashew - Lightly Salted & Roasted,6
5008,Cranberry Almond Fusion,13
5009,Vanilla Soap Case - Brown,16
5010,"Perfume Body Spray - Super Saver Pack, 2 Voyage & 1 Neo",15
5011,Sweet Basil Essential Oil,4
5012,Fragrance Body Spray Bleu Spring,17
5013,Quadratini Wafer Cookies - Vanilla,13
5014,Everyday Ritual Set,13
5015,Long Grain Rice,7
5016,Sapota - Organically Grown,14
5017,Mixed Fruit Jam,16
5018,Roasted Almonds - Smoky Barbeque,12
5019,Almond & Honey Nourishing Foaming Face Wash,3
5020,Blossom Printed Plastic Dustbin / Garbage Bin - White & Pink,12
5021,"Toothpaste - Active Salt Saver Pack, Salt & Minerals",11
5022,Green Coffee Beans - Unroasted Arabica,6
5023,"100% Natural & Pure Groundnut Oil - Unrefined, Cold-Pressed",9
5024,"Steel Deep Dabba/Storage Container  - No. 13, Diamond",12
5025,Acne Face Wash For Oily & Acne Prone Skin -  With Magnolia Bark Power,19
5026,Real Nature Lemon Face Mask,18
5027,Total Effects 7-In-1 - Anti-Ageing Night Skin Cream,17
5028,Cuppa Noodles - Masala,20
5029,Surekha Boiled Rice,7
5030,2 Ply Toilet Tissue Roll,6
5031,Masala - Vatha Kulambu,1
5032,Flax Seeds,11
5033,Black Cherry Preserve,20
5034,Aloo Bhujia,4
5035,Pickle - Garlic,19
5036,Sha Clove Pimple Cream,4
5037,Bio Rejuvenating Vetiver,12
5038,Tomato Knife - Swift,9
5039,Pumpkin - Disco,15
5040,Sumac Powder,20
5041,Macaroni Elbow Pasta,18
5042,Wicked 85% Dark Chocolate,8
5043,Perfume Spray - Voyage,17
5044,Perfumed Herbal Phenyle - White,3
5045,Granola Varity Pack,14
5046,Flea & Tick Shampoo,14
5047,Signature Champion No Gas Body Deodorant For Men,18
5048,100% Melamine Noodle Bowl - Red,8
5049,"Chota Bheem Zip Pouch - 2 Compartment With Coloured Liner, Assorted Colour",20
5050,Vitamin E Body Cream,1
5051,Amla Goli,6
5052,Sauce - Garlic Chilli,19
5053,542 Timex Clip Punchless File F/S,4
5054,Ultra Matic Detergent Washing Powder,9
5055,Baby Diapers & Sanitary Disposal Bag,12
5056,Gulab Mix - Mouth Freshener,16
5057,Sugarfree Cookies - Oatmeal,11
5058,GoldWinner Oil 1L + Tasties Panipuri Onion + Potato Cube + Garlic Tube-150g each,6
5059,Breathe Easy Vapour Roll - On For Babies,9
5060,Tomato Rice - Ready to Eat,1
5061,Marvel Avengers Kids Plastic Lunch Box With Detachable Steel Tray,19
5062,Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,11
5063,Khatai - Badam,7
5064,Olive Pomace Oil,11
5065,Burger - Chips,14
5066,Amber Woman Deodorant,5
5067,Cotton Scarf Mask - Sage Abstract,2
5068,Sriracha Sauce,20
5069,Gems Home Treats Pack,15
5070,Foot Powder Strong,18
5071,"Nutrition Drink - Health, Energy & Sports",18
5072,Colorsilk Hair Colour With Keratin,2
5073,Amritsari Chhole Masala,12
5074,Madhushoonya Ras,8
5075,Daily Moisturising Cream,11
5076,Masala - Chicken,8
5077,Water/Juice Glass - Lyra Diamond,18
5078,"Plastic Snacker Round Container - Big, Brown",11
5079,Apple Cider Vinegar With Cinnamon & Fenugreek,15
5080,MaxFresh Orange Spicy Fresh Gel Toothpaste - Sunrisers Hyderabad Special Edition Pack,12
5081,Wafer Rolls - Strawberry Flavor,19
5082,"Face Mask - Ultra-Light Contoured Fit, Small, Dark Green",11
5083,"Bath Loofah - Bittersweet Orange, Colour May Vary",6
5084,"Smart LED Bulb - 7 Watt, Wi-Fi Enabled, Multicolour (SSK-SMW 7W)",9
5085,Agarbathi - Variety Combi Pcke Pure,15
5086,Immune Yogue Junior - Natural Ayurvedic Immunity Booster for Kids,6
5087,Melamine Leaf Snack Set - Emerald,14
5088,GIR Cow Ghee/Tuppa - A2 Milk (Vedic Bilona Method),12
5089,Asafoetida - Powder,6
5090,Quinoa,18
5091,Organic Kabuli Chana/Kabuli Kadale,9
5092,Cheese Balls,5
5093,"Face Pack - Bio Fruit Spot Lightening, Bxl Cellular",1
5094,100% Anti Hangover Drink - Blackberry,11
5095,"Stainless Steel Lunch Box/Tiffin Set - Blue, BB 577 1",13
5096,Active - Goodness Of Olive Oil,9
5097,"Sponge Wiper - Window & Glass Clean, Small, With Plastic Stick",14
5098,Popcorn - Mixin Tomato Salsa,7
5099,Orchid Coffee/Milk Mug - Happiness Is Wonderful Friends,3
5100,Stainless Steel Storage Lunch Container - Rainbow,7
5101,20g Whey Protein Bar - Coconut,17
5102,"Toilet Tissue Paper - Elegant Perfumed, 3Ply, Imported",19
5103,Roasted Peanuts - Nimboo Pudina,6
5104,Nacho Crisps - Barbeque,1
5105,"LED Bulb - 9 Watt,  Cool Day Light, Base B22D",2
5106,Tomato Ketchup,9
5107,Agar Agar Powder - Vegetarian Gelatin Powder,13
5108,Natural Dietary Fibre,1
5109,Cold Pressed Virgin Coconut Oil,4
5110,Hand Murukku Special,5
5111,Sweet & Sour Tamarind Wok Sauce,2
5112,Tomato - Hybrid 1kg + Onion 1kg + Potato 1kg (Organically Grown),1
5113,Cheddar Applewood Smoked Cheese - Sliced,13
5114,Herbal Incense Sticks - Goudhooli,6
5115,SS Delite Container No.3,1
5116,"Jade Roller Massager For Face, Neck & Head - Colour May Vary",8
5117,Himalayan Pink Salt Chocolate Bar,12
5118,Deeply Nourishing Body Wash,19
5119,Fragrance Body Spray - Marco 150 ml + Fragrance Body Spray - Royal 150 ml,20
5120,Deluxe Crackers - Original,15
5121,Sawantwadi Garam Masala,11
5122,Colour Catcher Sheets,16
5123,Tribulus Terrestris Dietary Supplement,4
5124,Multi-Surface Wipes,7
5125,Nylon with White PVC Handle - Long Head Sliced Turner,12
5126,Bajra Flour,19
5127,Lemon Tea,19
5128,Oil Control Face Wash With Charcoal & Cooling Mint,17
5129,Light Soy Sauce,1
5130,Ayurvedic Satawar Powder,9
5131,Elephant Apple Pickle,11
5132,Paratha - Aloo,4
5133,Super Snack - Pudina Party,11
5134,Be Delicious Eau De Parfum,17
5135,Digestive - Natural Wheat Biscuits,10
5136,Oatmeal Shampoo,12
5137,"Snack Time - Schezwan Fried Rice Masala, Chinese Flavour",1
5138,Colby Cheese Block,2
5139,Dust Tea,4
5140,Masala - Fish Curry,20
5141,"Biscuit - Caramelised, The Original, Biscoff",5
5142,Monaco,16
5143,Premium International Exotic Brazil Nuts,18
5144,Almond Oil Body Cleanser,12
5145,"Recharge Coffee Face Wash - Cleanses Away Dirt, Oil & Dullness",20
5146,"Royal Saffron Masala Chai - Worlds Most Expensive Spice, Loose Leaf Tea",17
5147,"Swarna Vedshakti Ayurvedic Toothpaste - Anti-Bacterial Paste With Neem, Clove, and Honey",12
5148,Eau De Perfume For Men - Original,5
5149,Vanilla Pound Mug Cake Mix,16
5150,Prunes,9
5151,Cooking Butter,10
5152,Mix - Rava Dosa,16
5153,Walnut Butter,9
5154,All Purpose Power Cleaner Spray - Removes 99.9% Germs,20
5155,Tomato - Diced,4
5156,"7 Grain Breakfast Cookie - Choco Chips, Soft & Chewy",18
5157,Tampons for Heavy Flow,10
5158,Fragrance Body Spray - Cool Blue,8
5159,Anti-Dandruff Shampoo,3
5160,Brass Prasad Plate - 7 Inch,8
5161,Tropical Alphonso Lip Balm,8
5162,Instant Popcorn - Tomato Chilli,7
5163,Herbal Hair Colour - Dark Brown,1
5164,Skin Naturals - Light Complete White Face Wash,3
5165,Strawberry Drink,2
5166,"Incense Sticks - Lia, Applee",17
5167,Organic Classic Peach Ice Tea,7
5168,Mascara - Black Eyeconic Curling,8
5169,Agarbatti - Premium Choice,2
5170,Sunehra Mineral Sugar/Sakkare,15
5171,"Farm Quail Eggs - Small, Antibiotic Residue-Free",14
